               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11448,             0.03611,                   0,           0.0046667,             0.58333,           0.0068061,           0.0015401,            0.075568,            0.033649,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.11323,            0.033418,                   0,               0.004,                 0.5,            0.006506,           0.0014647,            0.074454,            0.033188,                   0,            0.095488,          0.00048762,          0.00048762
                   2,             0.11604,            0.034727,                   0,           0.0046667,             0.58333,           0.0055225,           0.0014441,            0.071637,            0.032995,                   0,             0.09276,           0.0007604,           0.0007604
                   3,             0.11368,            0.039195,                   0,               0.006,                0.75,            0.011886,           0.0026708,            0.068501,            0.032745,                   0,            0.090018,           0.0010183,           0.0010183
                   4,             0.10504,             0.04188,                   0,           0.0066667,             0.83333,             0.01878,           0.0055791,            0.065123,             0.03243,                   0,            0.087261,           0.0012614,           0.0012614
                   5,            0.082967,            0.032863,                   0,           0.0066667,             0.83333,            0.027667,           0.0093016,            0.061181,            0.032293,                   0,             0.08449,           0.0014896,           0.0014896
                   6,            0.093357,            0.041826,                   0,           0.0066667,             0.83333,            0.029822,            0.012011,            0.057193,            0.032323,                   0,            0.081703,            0.001703,            0.001703
                   7,            0.089549,            0.037442,                   0,               0.008,                   1,            0.038757,            0.015356,            0.055545,            0.032135,                   0,            0.078902,           0.0019015,           0.0019015
                   8,            0.084727,            0.038662,                   0,            0.067737,             0.33333,            0.089385,            0.029594,            0.051483,            0.031605,                   0,            0.076085,           0.0020852,           0.0020852
                   9,            0.079974,            0.041425,                   0,              0.1564,                0.25,             0.19265,            0.071837,            0.049203,            0.030803,                   0,            0.073254,            0.002254,            0.002254
                  10,            0.071197,            0.036691,                   0,             0.42729,             0.16667,             0.23355,            0.092474,            0.048256,             0.02973,                   0,            0.070408,            0.002408,            0.002408
                  11,            0.075205,            0.039254,                   0,             0.40898,                0.25,             0.30873,             0.16277,            0.045636,            0.028829,                   0,            0.067547,           0.0025471,           0.0025471
                  12,            0.073949,            0.037499,                   0,              0.8123,                0.25,             0.37809,             0.15969,            0.042157,            0.026933,                   0,            0.064671,           0.0026714,           0.0026714
                  13,            0.073293,            0.035214,                   0,             0.89268,                0.25,             0.41596,             0.18195,            0.039454,            0.027125,                   0,            0.061781,           0.0027808,           0.0027808
                  14,            0.062538,            0.034395,                   0,             0.94421,                0.25,             0.38529,             0.24791,             0.03865,            0.027164,                   0,            0.058875,           0.0028754,           0.0028754
                  15,            0.059684,            0.031811,                   0,             0.70956,             0.33333,             0.41055,             0.25161,            0.041369,            0.027227,                   0,            0.055955,           0.0029551,           0.0029551
                  16,             0.05754,            0.027673,                   0,             0.40241,             0.33333,             0.29192,             0.12606,            0.044142,            0.029362,                   0,             0.05302,             0.00302,             0.00302
                  17,            0.073319,            0.027617,                   0,             0.79994,             0.33324,             0.40075,             0.18809,             0.03632,            0.028238,                   0,             0.05007,             0.00307,             0.00307
                  18,            0.056648,            0.030253,                   0,              0.5468,                0.25,             0.26941,             0.13604,            0.042313,            0.027001,                   0,            0.047105,           0.0031052,           0.0031052
                  19,            0.057557,             0.02762,                   0,             0.55957,                0.25,             0.31926,             0.15986,            0.039356,            0.025473,                   0,            0.044126,           0.0031255,           0.0031255
                  20,            0.068647,            0.028528,                   0,             0.36131,             0.33333,              0.2758,             0.14979,            0.036218,            0.024937,                   0,            0.041131,            0.003131,            0.003131
                  21,            0.051985,            0.028995,                   0,             0.46187,             0.33333,             0.30626,             0.16379,            0.039691,            0.022769,                   0,            0.038122,           0.0031216,           0.0031216
                  22,            0.064663,            0.025298,                   0,             0.55435,             0.33333,             0.33687,             0.17722,             0.03352,            0.023904,                   0,            0.035097,           0.0030974,           0.0030974
                  23,             0.05559,            0.030125,                   0,             0.37458,             0.41667,             0.31954,             0.18558,              0.0382,            0.022161,                   0,            0.032058,           0.0030583,           0.0030583
                  24,             0.05096,            0.027393,                   0,             0.34524,             0.41667,             0.32125,             0.20318,            0.033695,            0.023755,                   0,            0.029004,           0.0030044,           0.0030044
                  25,            0.053758,            0.028589,                   0,             0.53401,             0.41667,             0.34431,             0.19364,            0.038555,            0.021815,                   0,            0.025936,           0.0029356,           0.0029356
                  26,            0.048067,            0.027881,                   0,              0.4235,             0.33333,             0.27334,             0.17422,            0.036852,            0.023861,                   0,            0.022852,            0.002852,            0.002852
                  27,             0.05272,            0.025096,                   0,             0.56488,             0.41667,             0.36738,             0.17512,            0.035037,            0.022883,                   0,            0.019754,           0.0027535,           0.0027535
                  28,            0.053888,            0.024796,                   0,             0.56488,             0.41667,             0.36738,             0.17512,            0.035037,            0.022883,                   0,             0.01664,           0.0026402,           0.0026402
                  29,            0.059241,            0.022835,                   0,             0.49073,             0.41667,             0.35965,             0.19819,            0.034225,             0.02306,                   0,            0.013512,            0.002512,            0.002512
                  30,            0.044973,            0.025205,                   0,             0.47904,             0.41667,             0.33345,             0.15147,            0.036259,            0.022414,                   0,            0.010369,            0.002369,            0.002369
                  31,            0.053037,            0.025021,                   0,             0.39033,             0.41667,              0.3526,             0.22732,            0.035212,            0.022364,                   0,           0.0072111,           0.0022111,           0.0022111
                  32,            0.048667,            0.028036,                   0,             0.39033,             0.41667,              0.3526,             0.22732,            0.035212,            0.022364,                   0,           0.0040384,           0.0020384,           0.0020384
                  33,            0.037903,            0.021707,                   0,             0.69786,             0.33333,             0.40667,             0.21545,            0.035504,             0.02223,                   0,           0.0018325,           0.0018325,           0.0018325
                  34,            0.041496,            0.023509,                   0,              0.5731,             0.33333,              0.3629,             0.18444,            0.035146,            0.022615,                   0,           0.0018325,           0.0018325,           0.0018325
                  35,            0.052391,            0.022402,                   0,             0.65701,             0.33333,             0.43677,             0.18647,            0.036412,             0.02212,                   0,            0.001585,            0.001585,            0.001585
                  36,             0.05482,             0.02516,                   0,             0.65701,             0.33333,             0.43677,             0.18647,            0.036412,             0.02212,                   0,           0.0013375,           0.0013375,           0.0013375
                  37,            0.049877,            0.024282,                   0,             0.43293,             0.41667,             0.38171,             0.18292,            0.035437,            0.022129,                   0,             0.00109,             0.00109,             0.00109
                  38,            0.035624,            0.022721,                   0,             0.42201,             0.41667,              0.4173,             0.23615,            0.034134,            0.022452,                   0,           0.0008425,           0.0008425,           0.0008425
                  39,            0.048795,            0.025348,                   0,             0.41724,                 0.5,             0.43195,             0.25607,            0.033262,            0.022459,                   0,            0.000595,            0.000595,            0.000595
