Date,Open,High,Low,Close,Adj Close,Volume,Change,Vol
2024-07-01,30.90999984741211,31.020000457763672,30.610000610351562,30.84000015258789,30.84000015258789,32401800,-0.2264629413451109,"32,401,800"
2024-07-02,30.860000610351562,31.309999465942383,30.59000015258789,31.06999969482422,31.06999969482422,35999300,0.6804895668155462,"35,999,300"
2024-07-03,31.1200008392334,31.34000015258789,30.90999984741211,31.229999542236328,31.229999542236328,24065700,0.35346625975746393,"24,065,700"
2024-07-05,31.399999618530273,32.34000015258789,31.309999465942383,32.02000045776367,32.02000045776367,45309400,1.9745249896994062,"45,309,400"
2024-07-08,33.029998779296875,34.09000015258789,32.81999969482422,33.9900016784668,33.9900016784668,82315900,2.9064575678145332,"82,315,900"
2024-07-09,35.02000045776367,35.220001220703125,33.720001220703125,34.59000015258789,34.59000015258789,97546900,-1.2278706440749159,"97,546,900"
2024-07-10,34.439998626708984,34.970001220703125,34.130001068115234,34.869998931884766,34.869998931884766,52256200,1.2485491356620046,"52,256,200"
2024-07-11,35.029998779296875,35.150001525878906,33.310001373291016,33.5,33.5,55213700,-4.367681509030259,"55,213,700"
2024-07-12,33.77000045776367,35.47999954223633,33.77000045776367,34.4900016784668,34.4900016784668,62792600,2.132073470367981,"62,792,600"
2024-07-15,34.70000076293945,35.22999954223633,34.310001373291016,34.459999084472656,34.459999084472656,39847900,-0.6916474731698715,"39,847,900"
2024-07-16,34.36000061035156,34.45000076293945,33.84000015258789,34.34000015258789,34.34000015258789,28409900,-0.0582085489184956,"28,409,900"
2024-07-17,36.08000183105469,37.15999984741211,34.400001525878906,34.459999084472656,34.459999084472656,112304200,-4.490029557558577,"112,304,200"
2024-07-18,34.959999084472656,36.29999923706055,34.529998779296875,34.869998931884766,34.869998931884766,84188600,-0.25743751414416893,"84,188,600"
2024-07-19,34.56999969482422,34.58000183105469,32.849998474121094,32.97999954223633,32.97999954223633,69628700,-4.599364092056801,"69,628,700"
2024-07-22,33.279998779296875,33.40999984741211,32.7599983215332,33.369998931884766,33.369998931884766,48503700,0.27043316072438905,"48,503,700"
2024-07-23,32.959999084472656,33.22999954223633,32.83000183105469,32.95000076293945,32.95000076293945,29466400,-0.030334714232177578,"29,466,400"
2024-07-24,32.529998779296875,32.79999923706055,31.65999984741211,31.700000762939453,31.700000762939453,62216700,-2.5514849293067265,"62,216,700"
2024-07-25,31.3700008392334,31.989999771118164,30.950000762939453,31.100000381469727,31.100000381469727,49774000,-0.8606963676774642,"49,774,000"
2024-07-26,31.43000030517578,31.559999465942383,31.020000457763672,31.350000381469727,31.350000381469727,38352500,-0.25453363960954395,"38,352,500"
2024-07-29,31.420000076293945,31.469999313354492,30.790000915527344,30.829999923706055,30.829999923706055,32342200,-1.8777853314934885,"32,342,200"
2024-07-30,30.850000381469727,30.90999984741211,30.010000228881836,30.1299991607666,30.1299991607666,48256600,-2.3338775098868356,"48,256,600"
2024-07-31,30.540000915527344,30.8700008392334,30.280000686645508,30.739999771118164,30.739999771118164,56110600,0.6548750805345772,"56,110,600"
2024-08-01,30.434999465942383,30.709999084472656,28.889999389648438,29.049999237060547,29.049999237060547,84308297,-4.550682612732391,"84,308,297"
